Category: All categories

Month,twerk: (Worldwide),dab: (Worldwide),dougie: (Worldwide),running man: (Worldwide),soulja boy: (Worldwide)
2004-01,0,19,2,2,0
2004-02,0,16,1,2,0
2004-03,0,16,2,2,0
2004-04,0,15,2,2,0
2004-05,0,16,2,2,0
2004-06,0,16,2,2,0
2004-07,0,19,2,2,0
2004-08,0,18,3,2,0
2004-09,0,20,3,2,0
2004-10,0,24,2,2,0
2004-11,0,26,3,2,0
2004-12,0,36,3,2,0
2005-01,0,25,3,2,0
2005-02,0,20,4,2,0
2005-03,0,19,4,2,0
2005-04,0,18,3,2,0
2005-05,0,18,3,2,0
2005-06,0,18,2,2,0
2005-07,0,20,3,2,0
2005-08,0,22,3,2,0
2005-09,0,20,4,2,0
2005-10,0,20,4,2,0
2005-11,0,25,4,2,0
2005-12,0,32,4,2,0
2006-01,0,22,3,2,0
2006-02,0,19,3,2,0
2006-03,0,18,3,2,0
2006-04,0,17,3,2,0
2006-05,0,18,3,2,0
2006-06,0,17,3,2,0
2006-07,0,16,3,2,0
2006-08,0,18,3,2,0
2006-09,0,17,3,2,1
2006-10,0,17,3,2,1
2006-11,0,21,4,2,1
2006-12,0,27,3,2,2
2007-01,0,19,3,2,2
2007-02,0,17,3,2,4
2007-03,0,16,3,2,4
2007-04,0,15,4,2,4
2007-05,0,15,4,2,6
2007-06,0,15,3,2,9
2007-07,0,16,3,2,16
2007-08,0,16,3,2,40
2007-09,0,15,3,2,73
2007-10,0,15,4,2,85
2007-11,0,19,4,2,75
2007-12,0,26,5,2,72
2008-01,0,18,5,2,55
2008-02,0,15,5,2,55
2008-03,0,13,5,3,43
2008-04,0,13,6,3,35
2008-05,0,12,5,3,29
2008-06,0,12,4,2,23
2008-07,0,12,4,2,18
2008-08,0,13,4,2,18
2008-09,0,13,4,2,17
2008-10,0,14,4,2,15
2008-11,0,16,3,2,15
2008-12,0,21,4,2,21
2009-01,0,15,3,2,21
2009-02,0,12,3,2,24
2009-03,1,12,3,3,25
2009-04,1,11,3,2,28
2009-05,1,11,3,3,28
2009-06,1,12,3,2,26
2009-07,1,12,3,2,23
2009-08,1,12,3,3,21
2009-09,1,11,3,3,18
2009-10,1,11,2,4,18
2009-11,1,13,2,4,15
2009-12,1,16,2,3,16
2010-01,1,12,3,3,15
2010-02,1,11,3,5,16
2010-03,1,10,3,4,17
2010-04,1,10,4,4,17
2010-05,1,11,6,3,17
2010-06,1,10,10,3,15
2010-07,1,10,16,3,18
2010-08,1,10,21,4,19
2010-09,1,10,21,4,18
2010-10,1,11,19,5,17
2010-11,1,12,22,5,17
2010-12,1,14,19,5,19
2011-01,1,12,16,6,15
2011-02,1,11,14,6,12
2011-03,1,10,16,6,13
2011-04,2,10,15,8,14
2011-05,2,10,26,9,12
2011-06,2,9,15,9,12
2011-07,2,10,14,10,13
2011-08,2,11,14,11,11
2011-09,2,10,14,11,22
2011-10,2,10,14,15,14
2011-11,2,12,23,14,15
2011-12,4,14,23,16,10
2012-01,4,11,12,17,9
2012-02,4,11,13,16,9
2012-03,4,10,11,21,8
2012-04,5,11,10,20,8
2012-05,5,9,10,23,7
2012-06,5,9,8,28,8
2012-07,5,10,8,30,11
2012-08,6,10,7,27,8
2012-09,6,10,6,25,7
2012-10,7,10,7,28,6
2012-11,8,12,7,29,8
2012-12,10,13,7,32,7
2013-01,10,11,7,33,7
2013-02,11,10,7,36,6
2013-03,17,10,6,38,7
2013-04,18,10,6,41,7
2013-05,20,10,6,40,7
2013-06,27,10,5,45,7
2013-07,40,11,5,48,7
2013-08,71,11,5,45,6
2013-09,58,11,4,47,5
2013-10,31,12,4,44,5
2013-11,31,13,5,45,5
2013-12,30,16,5,44,6
2014-01,28,13,4,40,6
2014-02,24,13,5,42,6
2014-03,22,13,4,46,6
2014-04,23,12,4,48,6
2014-05,21,13,5,54,6
2014-06,25,13,5,62,6
2014-07,25,13,4,53,6
2014-08,26,13,4,52,6
2014-09,23,13,3,50,9
2014-10,23,14,4,46,6
2014-11,23,16,4,46,6
2014-12,26,17,4,48,5
2015-01,22,15,4,48,4
2015-02,22,15,4,43,4
2015-03,22,14,4,44,4
2015-04,24,15,4,47,3
2015-05,22,14,3,52,4
2015-06,34,14,5,57,4
2015-07,45,14,3,56,4
2015-08,40,15,3,46,4
2015-09,32,16,3,39,5
2015-10,28,17,3,38,6
2015-11,26,26,3,41,9
2015-12,28,40,4,48,8
2016-01,25,42,3,44,4
2016-02,23,50,3,39,4
2016-03,24,36,3,44,4
2016-04,25,36,2,59,4
2016-05,23,34,2,100,6
2016-06,23,36,3,63,3
2016-07,25,38,2,54,3
2016-08,24,38,2,46,4
2016-09,21,46,2,45,4
2016-10,22,51,2,44,6
2016-11,21,49,2,41,5
2016-12,22,55,4,37,4
