Category: All categories

Month,instagram: (Worldwide),twitter: (Worldwide),tumblr: (Worldwide),snapchat: (Worldwide),myspace: (Worldwide)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,1
2004-08,0,0,0,0,1
2004-09,0,0,0,0,1
2004-10,0,0,0,0,1
2004-11,0,0,0,0,1
2004-12,0,0,0,0,2
2005-01,0,0,0,0,2
2005-02,0,0,0,0,3
2005-03,0,0,0,0,4
2005-04,0,0,0,0,5
2005-05,0,0,0,0,6
2005-06,0,0,0,0,7
2005-07,0,0,0,0,9
2005-08,0,0,0,0,11
2005-09,0,0,0,0,13
2005-10,0,0,0,0,17
2005-11,0,0,0,0,21
2005-12,0,0,0,0,27
2006-01,0,0,0,0,32
2006-02,0,0,0,0,37
2006-03,0,0,0,0,42
2006-04,0,0,0,0,50
2006-05,0,0,0,0,52
2006-06,0,0,0,0,61
2006-07,0,0,0,0,70
2006-08,0,0,0,0,71
2006-09,0,0,0,0,71
2006-10,0,0,0,0,74
2006-11,0,0,0,0,78
2006-12,0,0,0,0,84
2007-01,0,0,0,0,83
2007-02,0,0,0,0,87
2007-03,0,0,0,0,86
2007-04,0,0,0,0,93
2007-05,0,0,0,0,90
2007-06,0,0,0,0,98
2007-07,0,0,0,0,100
2007-08,0,0,0,0,96
2007-09,0,0,0,0,85
2007-10,0,0,0,0,83
2007-11,0,0,0,0,84
2007-12,0,0,0,0,88
2008-01,0,0,0,0,81
2008-02,0,0,0,0,82
2008-03,0,1,0,0,80
2008-04,0,1,0,0,78
2008-05,0,1,0,0,79
2008-06,0,1,0,0,84
2008-07,0,1,0,0,84
2008-08,0,1,0,0,83
2008-09,0,1,0,0,80
2008-10,0,1,0,0,75
2008-11,0,2,0,0,74
2008-12,0,2,0,0,74
2009-01,0,3,0,0,70
2009-02,0,5,0,0,65
2009-03,0,10,0,0,64
2009-04,0,15,0,0,65
2009-05,0,13,0,0,60
2009-06,0,18,0,0,59
2009-07,0,20,0,0,60
2009-08,0,21,0,0,56
2009-09,0,19,0,0,49
2009-10,0,18,0,0,45
2009-11,0,18,0,0,43
2009-12,0,18,1,0,42
2010-01,0,21,1,0,39
2010-02,0,23,1,0,37
2010-03,0,24,1,0,35
2010-04,0,26,1,0,34
2010-05,0,27,1,0,30
2010-06,0,29,1,0,28
2010-07,0,33,2,0,29
2010-08,0,33,2,0,25
2010-09,0,34,2,0,21
2010-10,0,32,2,0,18
2010-11,0,32,3,0,17
2010-12,0,33,4,0,13
2011-01,0,36,4,0,11
2011-02,0,39,5,0,10
2011-03,0,43,5,0,8
2011-04,0,44,6,0,7
2011-05,0,49,7,0,6
2011-06,0,50,8,0,6
2011-07,0,54,9,0,6
2011-08,1,54,10,0,5
2011-09,1,52,10,0,5
2011-10,1,53,11,0,4
2011-11,1,54,12,0,4
2011-12,1,56,13,0,4
2012-01,2,58,14,0,4
2012-02,2,58,15,0,3
2012-03,2,58,16,0,3
2012-04,7,60,18,0,3
2012-05,5,60,17,0,2
2012-06,6,63,19,0,2
2012-07,6,66,21,0,2
2012-08,7,65,21,0,2
2012-09,7,61,20,0,2
2012-10,7,66,21,0,2
2012-11,9,66,22,0,2
2012-12,11,69,25,1,2
2013-01,11,69,24,1,2
2013-02,13,66,24,0,2
2013-03,14,65,24,1,2
2013-04,15,66,24,1,1
2013-05,17,65,26,1,1
2013-06,19,67,25,2,1
2013-07,20,66,26,2,1
2013-08,21,63,25,1,1
2013-09,20,59,23,1,1
2013-10,20,56,24,2,1
2013-11,20,56,24,2,1
2013-12,22,56,25,3,1
2014-01,23,54,24,3,1
2014-02,23,53,23,3,1
2014-03,24,55,23,3,1
2014-04,26,51,23,3,1
2014-05,28,52,24,4,1
2014-06,28,49,24,3,1
2014-07,30,50,24,3,1
2014-08,31,48,23,3,1
2014-09,29,45,22,3,1
2014-10,30,43,22,4,1
2014-11,30,42,22,4,1
2014-12,32,42,22,4,1
2015-01,33,42,22,5,1
2015-02,31,41,21,4,1
2015-03,31,40,21,4,1
2015-04,33,39,22,7,1
2015-05,32,37,22,6,1
2015-06,33,38,22,6,1
2015-07,36,39,24,6,1
2015-08,36,38,24,6,1
2015-09,34,35,23,10,0
2015-10,35,35,23,8,0
2015-11,34,35,23,7,0
2015-12,38,35,25,7,0
2016-01,38,36,25,7,1
2016-02,36,34,23,8,0
2016-03,38,35,24,9,0
2016-04,39,34,23,10,0
2016-05,41,34,24,9,0
2016-06,43,34,24,10,0
2016-07,46,36,26,10,0
2016-08,46,34,25,9,0
2016-09,44,33,24,8,0
2016-10,43,33,23,8,0
2016-11,44,33,23,7,0
2016-12,43,31,23,7,0
