Category: All categories

Month,pot: (Worldwide),weed: (Worldwide),marijuana: (Worldwide),420: (Worldwide)
2004-01,57,29,46,13
2004-02,54,34,50,12
2004-03,52,40,51,13
2004-04,49,47,55,19
2004-05,45,46,50,12
2004-06,43,40,39,13
2004-07,43,35,36,14
2004-08,45,33,36,14
2004-09,49,32,40,12
2004-10,56,31,44,13
2004-11,56,29,49,13
2004-12,58,27,44,14
2005-01,59,28,38,12
2005-02,55,30,42,13
2005-03,52,32,43,12
2005-04,49,39,48,19
2005-05,48,39,46,12
2005-06,46,35,39,12
2005-07,45,33,32,12
2005-08,46,32,33,12
2005-09,48,31,34,11
2005-10,57,31,40,11
2005-11,59,29,43,10
2005-12,61,28,36,11
2006-01,59,28,35,10
2006-02,57,30,37,10
2006-03,54,31,37,10
2006-04,50,37,40,19
2006-05,48,36,38,12
2006-06,44,33,30,10
2006-07,45,32,29,11
2006-08,46,31,28,11
2006-09,51,30,31,10
2006-10,57,29,35,10
2006-11,57,26,35,10
2006-12,60,24,30,10
2007-01,57,25,29,10
2007-02,56,25,30,10
2007-03,51,27,32,10
2007-04,52,32,34,19
2007-05,52,34,33,10
2007-06,46,31,27,10
2007-07,46,31,28,11
2007-08,47,28,27,11
2007-09,51,28,27,10
2007-10,57,27,30,10
2007-11,59,26,30,11
2007-12,65,27,28,11
2008-01,65,27,29,11
2008-02,62,28,30,11
2008-03,56,30,29,11
2008-04,54,36,32,17
2008-05,52,38,30,11
2008-06,47,34,26,11
2008-07,48,34,26,11
2008-08,51,35,28,11
2008-09,54,33,30,10
2008-10,61,33,29,14
2008-11,66,32,31,10
2008-12,69,32,28,10
2009-01,69,33,27,10
2009-02,72,39,36,10
2009-03,63,37,34,10
2009-04,59,45,35,20
2009-05,54,45,32,10
2009-06,51,42,27,10
2009-07,49,40,27,10
2009-08,55,41,27,11
2009-09,59,39,27,11
2009-10,66,38,31,12
2009-11,68,37,30,10
2009-12,70,35,27,10
2010-01,71,36,28,10
2010-02,65,38,27,10
2010-03,62,41,29,10
2010-04,58,51,32,23
2010-05,54,48,28,10
2010-06,50,43,24,10
2010-07,53,49,28,11
2010-08,55,48,27,11
2010-09,59,44,27,13
2010-10,67,45,32,11
2010-11,74,46,38,10
2010-12,75,44,28,11
2011-01,76,43,27,11
2011-02,69,44,27,11
2011-03,64,46,28,11
2011-04,62,59,32,27
2011-05,59,55,28,11
2011-06,56,53,26,11
2011-07,57,53,26,11
2011-08,60,50,24,11
2011-09,67,47,24,11
2011-10,73,47,27,10
2011-11,76,47,25,10
2011-12,79,50,24,10
2012-01,78,50,24,10
2012-02,72,51,25,11
2012-03,68,54,25,11
2012-04,64,64,27,25
2012-05,57,58,24,10
2012-06,56,55,23,11
2012-07,56,57,23,11
2012-08,59,57,23,11
2012-09,69,53,23,11
2012-10,75,51,24,10
2012-11,79,59,43,10
2012-12,79,54,26,10
2013-01,81,67,24,11
2013-02,77,54,24,11
2013-03,73,58,24,11
2013-04,66,65,26,24
2013-05,62,63,24,13
2013-06,58,60,22,13
2013-07,59,59,22,13
2013-08,64,59,25,12
2013-09,71,53,24,12
2013-10,78,53,24,12
2013-11,86,52,24,12
2013-12,88,53,24,12
2014-01,93,61,40,13
2014-02,83,57,31,13
2014-03,78,61,31,15
2014-04,69,67,30,26
2014-05,65,72,27,14
2014-06,60,65,25,13
2014-07,61,65,27,14
2014-08,64,61,26,14
2014-09,71,58,26,14
2014-10,80,56,27,13
2014-11,91,58,32,14
2014-12,86,55,25,14
2015-01,91,57,26,14
2015-02,82,58,27,15
2015-03,77,61,28,15
2015-04,71,70,29,27
2015-05,67,70,28,18
2015-06,63,67,27,17
2015-07,63,67,27,26
2015-08,68,63,26,17
2015-09,75,60,27,15
2015-10,86,61,29,14
2015-11,91,57,28,14
2015-12,91,60,26,14
2016-01,100,61,28,15
2016-02,85,61,27,15
2016-03,81,65,28,15
2016-04,76,77,30,32
2016-05,72,73,27,15
2016-06,66,69,25,14
2016-07,68,67,25,14
2016-08,72,69,27,14
2016-09,76,66,27,14
2016-10,87,64,29,13
2016-11,93,75,45,13
2016-12,88,67,32,14
