month,bae,babe,boyfriend
2004-01,7,39,14
2004-02,7,35,14
2004-03,7,36,13
2004-04,6,37,14
2004-05,6,39,14
2004-06,6,37,15
2004-07,6,38,17
2004-08,6,38,18
2004-09,6,36,16
2004-10,6,42,16
2004-11,6,36,17
2004-12,5,39,19
2005-01,7,38,16
2005-02,6,38,18
2005-03,6,37,15
2005-04,6,39,16
2005-05,5,41,15
2005-06,6,39,16
2005-07,5,39,17
2005-08,6,36,17
2005-09,6,33,21
2005-10,6,35,26
2005-11,5,35,24
2005-12,5,36,22
2006-01,5,36,20
2006-02,5,33,19
2006-03,6,34,16
2006-04,5,36,16
2006-05,5,38,16
2006-06,5,35,16
2006-07,5,35,18
2006-08,5,33,15
2006-09,5,32,15
2006-10,5,31,14
2006-11,5,31,16
2006-12,4,32,18
2007-01,5,31,17
2007-02,5,30,16
2007-03,5,31,15
2007-04,5,32,16
2007-05,5,32,16
2007-06,5,31,17
2007-07,5,32,21
2007-08,5,30,18
2007-09,5,28,17
2007-10,5,29,17
2007-11,5,28,23
2007-12,4,31,24
2008-01,5,28,21
2008-02,6,30,20
2008-03,5,28,19
2008-04,5,30,21
2008-05,5,30,22
2008-06,5,31,24
2008-07,5,31,23
2008-08,5,29,23
2008-09,5,27,24
2008-10,5,28,24
2008-11,5,26,28
2008-12,4,27,31
2009-01,5,28,29
2009-02,5,27,28
2009-03,5,28,29
2009-04,5,29,33
2009-05,5,29,33
2009-06,5,29,36
2009-07,5,28,38
2009-08,5,28,38
2009-09,5,25,37
2009-10,5,25,35
2009-11,4,25,42
2009-12,4,25,47
2010-01,4,24,46
2010-02,5,24,50
2010-03,4,25,43
2010-04,4,28,45
2010-05,4,27,44
2010-06,4,27,48
2010-07,5,31,49
2010-08,4,29,48
2010-09,4,28,44
2010-10,4,28,46
2010-11,4,28,49
2010-12,4,28,53
2011-01,4,26,51
2011-02,4,27,53
2011-03,4,26,44
2011-04,4,28,50
2011-05,4,28,53
2011-06,4,28,57
2011-07,4,29,62
2011-08,4,27,55
2011-09,5,26,55
2011-10,4,26,56
2011-11,4,26,61
2011-12,4,27,64
2012-01,4,26,63
2012-02,4,26,65
2012-03,4,26,73
2012-04,4,29,95
2012-05,4,28,100
2012-06,4,30,96
2012-07,4,29,90
2012-08,4,29,88
2012-09,5,28,74
2012-10,5,26,72
2012-11,4,27,75
2012-12,4,28,80
2013-01,4,28,78
2013-02,4,28,80
2013-03,4,28,74
2013-04,4,28,73
2013-05,5,29,73
2013-06,4,29,77
2013-07,5,29,76
2013-08,5,29,76
2013-09,5,36,73
2013-10,5,28,71
2013-11,5,28,75
2013-12,5,29,89
2014-01,7,28,80
2014-02,6,28,79
2014-03,8,29,78
2014-04,9,30,77
2014-05,11,31,78
2014-06,13,32,79
2014-07,17,32,86
2014-08,17,31,82
2014-09,18,29,71
2014-10,18,28,70
2014-11,19,28,76
2014-12,18,29,79
2015-01,17,30,77
2015-02,16,29,75
2015-03,16,27,69
2015-04,15,30,74
2015-05,18,30,75
2015-06,15,29,75
2015-07,16,30,81
2015-08,16,30,76
2015-09,14,28,74
2015-10,15,29,73
2015-11,15,29,75
2015-12,15,29,81
2016-01,15,30,80
2016-02,14,28,76
2016-03,13,29,68
2016-04,13,29,72
2016-05,13,29,68
2016-06,13,28,72
2016-07,14,30,76
2016-08,13,29,74
2016-09,13,28,70
2016-10,13,28,75
2016-11,13,28,73
2016-12,14,27,75
