month,thot,ratchet,shawty,betch
2004-01,4,66,1,0
2004-02,3,40,0,0
2004-03,3,36,0,0
2004-04,3,33,1,0
2004-05,2,33,1,0
2004-06,3,29,0,0
2004-07,2,35,1,1
2004-08,2,34,0,1
2004-09,2,33,0,1
2004-10,2,41,1,1
2004-11,5,65,1,1
2004-12,4,66,1,0
2005-01,5,54,1,0
2005-02,5,39,1,1
2005-03,5,35,1,1
2005-04,3,29,1,1
2005-05,4,26,0,1
2005-06,5,28,1,1
2005-07,4,34,1,1
2005-08,4,34,1,0
2005-09,3,27,0,0
2005-10,5,38,1,0
2005-11,5,46,1,0
2005-12,5,48,1,0
2006-01,5,35,1,0
2006-02,4,27,1,1
2006-03,5,23,1,1
2006-04,4,26,1,1
2006-05,5,24,1,0
2006-06,5,26,1,1
2006-07,5,27,1,1
2006-08,5,27,1,1
2006-09,5,22,1,1
2006-10,5,21,2,1
2006-11,5,21,2,1
2006-12,6,25,2,1
2007-01,8,22,2,1
2007-02,7,29,4,1
2007-03,6,29,14,1
2007-04,5,25,21,1
2007-05,6,27,26,1
2007-06,6,30,34,1
2007-07,6,32,42,1
2007-08,6,27,40,1
2007-09,5,26,48,1
2007-10,5,33,51,1
2007-11,7,47,47,1
2007-12,7,52,41,1
2008-01,7,40,34,1
2008-02,7,33,45,1
2008-03,7,32,46,1
2008-04,7,28,40,1
2008-05,7,26,36,1
2008-06,6,28,30,1
2008-07,6,32,28,1
2008-08,6,35,25,1
2008-09,5,28,24,1
2008-10,5,29,19,1
2008-11,6,27,19,1
2008-12,6,35,17,1
2009-01,6,30,15,1
2009-02,5,26,15,1
2009-03,5,25,16,1
2009-04,5,28,16,1
2009-05,5,25,15,1
2009-06,5,28,16,1
2009-07,4,31,16,1
2009-08,4,32,16,1
2009-09,4,28,15,1
2009-10,4,33,18,1
2009-11,3,41,18,1
2009-12,3,41,20,1
2010-01,3,34,23,1
2010-02,3,26,21,1
2010-03,3,24,20,1
2010-04,3,22,19,1
2010-05,3,21,19,1
2010-06,3,23,17,1
2010-07,3,26,18,1
2010-08,3,26,20,1
2010-09,3,22,19,1
2010-10,3,21,20,1
2010-11,3,21,17,1
2010-12,3,26,17,1
2011-01,2,23,15,1
2011-02,2,20,15,1
2011-03,2,19,13,1
2011-04,2,20,13,1
2011-05,3,22,13,1
2011-06,2,31,13,1
2011-07,2,25,13,1
2011-08,2,22,12,1
2011-09,3,19,11,1
2011-10,3,24,12,1
2011-11,3,24,12,1
2011-12,2,25,13,1
2012-01,2,22,10,1
2012-02,2,27,10,1
2012-03,2,29,9,1
2012-04,3,31,9,1
2012-05,3,32,10,1
2012-06,2,35,9,1
2012-07,2,40,10,1
2012-08,2,40,9,1
2012-09,3,40,8,1
2012-10,3,39,8,1
2012-11,3,44,9,1
2012-12,3,53,12,1
2013-01,3,50,15,1
2013-02,3,41,8,1
2013-03,3,41,8,1
2013-04,4,43,7,1
2013-05,4,42,8,1
2013-06,5,41,8,1
2013-07,7,45,8,1
2013-08,7,48,7,1
2013-09,7,39,7,1
2013-10,9,38,7,1
2013-11,14,45,7,2
2013-12,21,45,7,2
2014-01,21,38,7,1
2014-02,22,35,6,1
2014-03,23,39,6,1
2014-04,28,40,6,1
2014-05,37,40,6,1
2014-06,40,38,6,1
2014-07,38,41,6,1
2014-08,32,35,6,1
2014-09,28,30,6,1
2014-10,26,28,6,1
2014-11,25,29,6,1
2014-12,27,32,6,1
2015-01,27,29,5,1
2015-02,25,27,6,1
2015-03,28,29,6,1
2015-04,24,27,6,1
2015-05,23,29,6,1
2015-06,23,31,7,1
2015-07,21,27,7,1
2015-08,21,28,7,2
2015-09,20,25,7,1
2015-10,20,27,7,1
2015-11,19,25,7,1
2015-12,23,29,8,1
2016-01,22,29,8,1
2016-02,21,25,7,1
2016-03,18,34,8,1
2016-04,18,100,8,1
2016-05,17,75,8,1
2016-06,17,40,7,1
2016-07,18,34,7,1
2016-08,17,37,7,1
2016-09,17,30,68,1
2016-10,17,26,22,1
2016-11,19,28,8,1
2016-12,20,30,8,1
