month,wicked,swag,dope,rad,dank
2004-01,69,3,19,38,4
2004-02,66,3,20,38,3
2004-03,68,3,21,35,3
2004-04,67,3,20,41,4
2004-05,71,3,23,42,5
2004-06,78,2,19,41,5
2004-07,76,4,17,40,4
2004-08,73,2,15,42,5
2004-09,71,3,18,38,5
2004-10,74,3,19,37,4
2004-11,74,3,17,34,5
2004-12,83,3,18,33,5
2005-01,76,3,16,32,5
2005-02,72,3,17,32,4
2005-03,75,3,18,35,4
2005-04,81,2,17,40,5
2005-05,86,3,15,41,5
2005-06,88,3,15,40,5
2005-07,100,2,17,41,5
2005-08,95,3,16,38,5
2005-09,88,3,15,34,5
2005-10,93,3,16,32,5
2005-11,92,3,15,32,5
2005-12,93,4,15,30,5
2006-01,85,3,14,32,5
2006-02,81,3,15,33,5
2006-03,80,3,14,34,5
2006-04,82,3,13,36,5
2006-05,83,3,14,38,6
2006-06,85,3,13,34,5
2006-07,80,4,14,36,5
2006-08,76,3,14,36,5
2006-09,84,3,14,36,5
2006-10,87,5,14,32,5
2006-11,87,4,13,31,5
2006-12,91,4,13,30,5
2007-01,79,4,13,32,5
2007-02,77,4,13,33,5
2007-03,75,3,14,35,5
2007-04,74,3,14,37,4
2007-05,73,3,13,40,5
2007-06,71,4,12,38,6
2007-07,74,3,12,37,5
2007-08,68,4,11,35,6
2007-09,67,3,12,37,5
2007-10,70,3,12,32,6
2007-11,82,4,12,32,6
2007-12,79,4,13,31,5
2008-01,69,4,14,33,5
2008-02,68,4,14,34,5
2008-03,63,4,13,33,5
2008-04,64,4,14,35,6
2008-05,67,4,13,38,5
2008-06,67,4,13,37,5
2008-07,70,4,14,36,6
2008-08,69,5,16,35,5
2008-09,67,5,14,34,6
2008-10,73,5,14,33,6
2008-11,68,7,13,32,6
2008-12,71,8,14,30,6
2009-01,64,8,12,33,6
2009-02,61,10,13,31,6
2009-03,58,14,14,34,6
2009-04,64,20,14,36,5
2009-05,63,25,13,35,6
2009-06,61,22,12,35,6
2009-07,59,17,12,32,6
2009-08,59,13,12,32,5
2009-09,58,12,13,33,6
2009-10,61,12,11,30,6
2009-11,60,14,11,30,6
2009-12,57,12,11,29,6
2010-01,57,11,11,30,5
2010-02,54,11,11,30,5
2010-03,54,11,11,32,6
2010-04,55,12,12,34,6
2010-05,53,12,11,34,6
2010-06,53,14,11,33,6
2010-07,54,22,12,31,6
2010-08,53,23,13,30,6
2010-09,51,32,12,30,6
2010-10,56,24,12,30,6
2010-11,51,20,13,31,7
2010-12,52,22,12,28,7
2011-01,49,19,12,29,7
2011-02,48,18,12,31,7
2011-03,49,17,13,32,6
2011-04,46,20,14,33,7
2011-05,47,33,13,32,7
2011-06,49,22,14,32,7
2011-07,47,24,13,29,6
2011-08,48,25,13,29,6
2011-09,50,25,13,30,7
2011-10,54,28,13,28,6
2011-11,57,29,15,28,7
2011-12,58,36,16,26,7
2012-01,56,37,16,27,7
2012-02,51,43,16,27,7
2012-03,50,43,15,30,6
2012-04,51,50,16,29,6
2012-05,48,49,16,32,6
2012-06,52,50,16,30,7
2012-07,50,64,17,31,6
2012-08,46,56,18,32,6
2012-09,46,58,17,32,6
2012-10,53,50,17,28,6
2012-11,52,49,15,26,6
2012-12,54,54,17,25,6
2013-01,53,49,17,29,6
2013-02,52,53,19,31,7
2013-03,59,52,21,33,6
2013-04,51,51,20,37,7
2013-05,46,50,18,35,6
2013-06,46,48,17,34,6
2013-07,46,48,18,32,6
2013-08,47,48,17,30,6
2013-09,47,45,16,32,6
2013-10,53,46,17,31,6
2013-11,50,46,23,29,6
2013-12,48,50,19,28,6
2014-01,47,48,17,31,7
2014-02,48,45,19,32,7
2014-03,52,46,22,34,7
2014-04,48,45,24,36,7
2014-05,49,47,23,36,7
2014-06,46,48,19,34,7
2014-07,44,53,19,32,7
2014-08,46,50,18,29,6
2014-09,47,44,17,31,7
2014-10,49,45,17,30,7
2014-11,49,44,17,31,7
2014-12,49,49,17,28,8
2015-01,47,44,17,31,8
2015-02,42,44,17,32,8
2015-03,42,45,17,34,10
2015-04,38,45,17,34,10
2015-05,38,47,18,35,10
2015-06,38,45,45,34,10
2015-07,38,42,35,31,10
2015-08,41,42,26,29,10
2015-09,40,47,26,31,11
2015-10,55,46,39,31,11
2015-11,47,43,30,30,11
2015-12,42,44,28,29,11
2016-01,39,41,27,30,12
2016-02,38,38,35,29,14
2016-03,39,37,29,30,14
2016-04,41,38,26,32,16
2016-05,41,38,24,33,16
2016-06,38,37,25,31,15
2016-07,40,37,24,28,14
2016-08,38,33,22,29,16
2016-09,38,34,20,30,22
2016-10,41,31,21,29,21
2016-11,35,31,20,29,21
2016-12,36,32,21,30,23
