month,lmao,rofl,lolcats
2004-01,16,16,0
2004-02,15,14,0
2004-03,16,13,0
2004-04,14,15,0
2004-05,16,15,0
2004-06,16,20,0
2004-07,16,17,0
2004-08,20,22,0
2004-09,17,17,0
2004-10,16,18,0
2004-11,18,20,0
2004-12,18,17,0
2005-01,18,22,0
2005-02,21,21,0
2005-03,18,23,0
2005-04,19,25,0
2005-05,20,31,0
2005-06,23,25,0
2005-07,22,25,0
2005-08,23,25,0
2005-09,21,27,0
2005-10,22,25,0
2005-11,21,27,0
2005-12,23,28,0
2006-01,21,26,0
2006-02,21,27,0
2006-03,22,23,0
2006-04,24,25,0
2006-05,24,27,0
2006-06,24,25,0
2006-07,26,25,0
2006-08,26,26,0
2006-09,23,27,0
2006-10,25,28,1
2006-11,25,27,1
2006-12,26,28,3
2007-01,27,26,2
2007-02,28,30,2
2007-03,25,27,3
2007-04,28,29,6
2007-05,27,30,27
2007-06,30,32,48
2007-07,30,31,47
2007-08,32,33,44
2007-09,30,31,40
2007-10,30,32,46
2007-11,30,32,60
2007-12,31,37,65
2008-01,32,36,66
2008-02,33,37,76
2008-03,32,37,83
2008-04,30,37,92
2008-05,32,36,91
2008-06,33,37,89
2008-07,35,33,87
2008-08,35,35,91
2008-09,35,33,95
2008-10,41,33,96
2008-11,39,34,98
2008-12,41,35,100
2009-01,44,35,86
2009-02,49,38,88
2009-03,44,37,88
2009-04,46,36,91
2009-05,48,36,91
2009-06,52,38,84
2009-07,55,37,80
2009-08,56,38,80
2009-09,60,40,81
2009-10,68,36,71
2009-11,60,37,77
2009-12,59,40,77
2010-01,67,40,71
2010-02,60,40,72
2010-03,59,38,66
2010-04,61,38,62
2010-05,58,40,59
2010-06,61,40,57
2010-07,65,39,54
2010-08,63,38,51
2010-09,59,37,54
2010-10,60,39,55
2010-11,61,41,53
2010-12,59,40,50
2011-01,62,38,47
2011-02,58,36,45
2011-03,59,37,41
2011-04,61,38,37
2011-05,60,37,32
2011-06,64,38,33
2011-07,65,36,32
2011-08,64,35,31
2011-09,59,32,30
2011-10,64,33,34
2011-11,65,33,34
2011-12,60,32,31
2012-01,58,33,32
2012-02,55,31,32
2012-03,51,29,30
2012-04,53,32,29
2012-05,45,28,28
2012-06,44,29,26
2012-07,43,27,23
2012-08,41,26,22
2012-09,39,24,20
2012-10,38,24,21
2012-11,41,25,20
2012-12,38,25,20
2013-01,41,24,18
2013-02,43,23,18
2013-03,39,23,16
2013-04,37,22,14
2013-05,35,21,14
2013-06,37,21,12
2013-07,38,20,10
2013-08,37,19,10
2013-09,33,18,10
2013-10,35,19,9
2013-11,38,18,8
2013-12,41,19,9
2014-01,44,19,9
2014-02,38,18,8
2014-03,37,19,7
2014-04,38,18,7
2014-05,36,19,7
2014-06,38,18,6
2014-07,44,19,7
2014-08,46,18,6
2014-09,44,16,5
2014-10,43,16,5
2014-11,48,17,5
2014-12,49,17,5
2015-01,48,17,5
2015-02,45,17,4
2015-03,47,17,4
2015-04,49,18,4
2015-05,50,18,4
2015-06,52,18,4
2015-07,56,18,3
2015-08,54,17,3
2015-09,54,16,3
2015-10,56,17,3
2015-11,55,16,3
2015-12,56,17,3
2016-01,56,16,3
2016-02,55,15,2
2016-03,53,19,2
2016-04,55,16,2
2016-05,52,16,2
2016-06,55,17,2
2016-07,56,18,2
2016-08,54,16,2
2016-09,52,16,2
2016-10,53,15,2
2016-11,56,16,2
2016-12,57,17,1
