month,instagram,twitter,tumblr,Snapchat,myspace
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,1
2004-08,0,0,0,0,1
2004-09,0,0,0,0,1
2004-10,0,0,0,0,1
2004-11,0,0,0,0,1
2004-12,0,0,0,0,2
2005-01,0,0,0,0,2
2005-02,0,0,0,0,3
2005-03,0,0,0,0,4
2005-04,0,0,0,0,5
2005-05,0,0,0,0,6
2005-06,0,0,0,0,7
2005-07,0,0,0,0,9
2005-08,0,0,0,0,12
2005-09,0,0,0,0,13
2005-10,0,0,0,0,17
2005-11,0,0,0,0,21
2005-12,0,0,0,0,28
2006-01,0,0,0,0,32
2006-02,0,0,0,0,38
2006-03,0,0,0,0,42
2006-04,0,0,0,0,50
2006-05,0,0,0,0,53
2006-06,0,0,0,0,62
2006-07,0,0,0,0,71
2006-08,0,0,0,0,70
2006-09,0,0,0,0,72
2006-10,0,0,0,0,75
2006-11,0,0,0,0,79
2006-12,0,0,0,0,85
2007-01,0,0,0,0,84
2007-02,0,0,0,0,87
2007-03,0,0,0,0,87
2007-04,0,0,0,0,95
2007-05,0,0,0,0,90
2007-06,0,0,0,0,97
2007-07,0,0,0,0,100
2007-08,0,0,0,0,96
2007-09,0,0,0,0,87
2007-10,0,0,0,0,84
2007-11,0,0,0,0,86
2007-12,0,0,0,0,89
2008-01,0,0,0,0,82
2008-02,0,0,0,0,83
2008-03,0,1,0,0,82
2008-04,0,1,0,0,79
2008-05,0,1,0,0,81
2008-06,0,1,0,0,84
2008-07,0,1,0,0,86
2008-08,0,1,0,0,85
2008-09,0,1,0,0,80
2008-10,0,1,0,0,76
2008-11,0,2,0,0,74
2008-12,0,2,0,0,76
2009-01,0,3,0,0,70
2009-02,0,6,0,0,67
2009-03,0,10,0,0,64
2009-04,0,15,0,0,65
2009-05,0,13,0,0,60
2009-06,0,18,0,0,61
2009-07,0,20,0,0,60
2009-08,0,21,0,0,58
2009-09,0,19,0,0,50
2009-10,0,18,0,0,45
2009-11,0,18,0,0,43
2009-12,0,18,1,0,43
2010-01,0,21,1,0,40
2010-02,0,23,1,0,37
2010-03,0,24,1,0,35
2010-04,0,26,1,0,34
2010-05,0,28,1,0,30
2010-06,0,30,1,0,28
2010-07,0,34,2,0,30
2010-08,0,34,2,0,25
2010-09,0,34,2,0,21
2010-10,0,33,2,0,19
2010-11,0,32,3,0,17
2010-12,0,34,4,0,14
2011-01,0,36,4,0,12
2011-02,0,40,5,0,10
2011-03,0,44,5,0,9
2011-04,0,44,7,0,7
2011-05,0,49,7,0,7
2011-06,0,51,9,0,6
2011-07,0,55,10,0,6
2011-08,1,55,10,0,5
2011-09,1,53,10,0,5
2011-10,1,53,11,0,5
2011-11,1,56,12,0,4
2011-12,1,57,14,0,4
2012-01,2,59,15,0,4
2012-02,2,59,15,0,3
2012-03,2,60,16,0,3
2012-04,7,61,18,0,3
2012-05,5,61,18,0,2
2012-06,6,64,19,0,2
2012-07,7,66,21,0,2
2012-08,7,66,21,0,2
2012-09,7,63,20,0,2
2012-10,7,66,21,0,2
2012-11,9,67,22,0,2
2012-12,11,69,25,1,2
2013-01,11,69,24,1,2
2013-02,13,66,24,0,2
2013-03,15,66,25,1,2
2013-04,16,68,25,1,1
2013-05,17,66,26,1,1
2013-06,19,67,26,2,1
2013-07,21,67,26,2,1
2013-08,21,63,25,1,1
2013-09,21,60,24,2,1
2013-10,20,57,24,2,1
2013-11,20,56,24,2,1
2013-12,23,56,25,3,1
2014-01,24,55,25,3,1
2014-02,23,54,23,3,1
2014-03,24,55,23,3,1
2014-04,27,52,24,3,1
2014-05,28,52,24,4,1
2014-06,28,50,24,3,1
2014-07,31,50,24,3,1
2014-08,32,49,24,3,1
2014-09,30,46,23,3,1
2014-10,30,44,22,4,1
2014-11,31,43,22,4,1
2014-12,33,42,23,4,1
2015-01,34,42,22,5,1
2015-02,32,41,22,4,1
2015-03,32,40,21,4,1
2015-04,33,39,22,7,1
2015-05,33,38,23,6,1
2015-06,34,38,23,6,1
2015-07,36,39,24,6,1
2015-08,37,38,24,6,1
2015-09,35,36,23,10,1
2015-10,35,35,23,8,0
2015-11,35,36,23,7,0
2015-12,38,35,25,7,0
2016-01,39,36,25,8,1
2016-02,37,34,23,8,0
2016-03,39,35,23,10,0
2016-04,39,34,24,10,0
2016-05,41,34,24,9,0
2016-06,43,34,24,10,0
2016-07,46,37,26,10,0
2016-08,47,34,25,10,0
2016-09,44,33,24,8,0
2016-10,44,34,24,8,0
2016-11,44,34,24,8,0
