month,turn up,turnt,lit,faded
2004-01,8,0,49,18
2004-02,6,0,44,11
2004-03,6,0,39,10
2004-04,7,0,42,10
2004-05,7,0,40,9
2004-06,6,0,45,8
2004-07,8,0,45,8
2004-08,6,0,50,8
2004-09,6,0,45,7
2004-10,7,0,44,7
2004-11,6,0,48,8
2004-12,6,0,47,7
2005-01,6,0,51,6
2005-02,6,0,46,7
2005-03,7,0,43,7
2005-04,7,0,44,7
2005-05,8,0,45,6
2005-06,10,0,41,6
2005-07,10,0,45,6
2005-08,13,0,52,7
2005-09,12,0,46,6
2005-10,11,0,47,6
2005-11,14,0,46,6
2005-12,13,0,48,7
2006-01,12,0,50,7
2006-02,11,0,48,7
2006-03,11,0,44,8
2006-04,9,0,44,9
2006-05,9,0,45,8
2006-06,10,0,43,7
2006-07,10,0,47,7
2006-08,11,0,52,8
2006-09,9,0,49,7
2006-10,10,0,50,7
2006-11,9,0,55,7
2006-12,8,0,51,7
2007-01,8,0,57,6
2007-02,8,0,51,7
2007-03,7,0,47,6
2007-04,8,0,46,7
2007-05,8,0,48,6
2007-06,9,0,48,6
2007-07,9,0,50,6
2007-08,9,0,53,7
2007-09,9,0,53,6
2007-10,8,0,51,6
2007-11,8,0,58,6
2007-12,9,0,54,7
2008-01,9,0,59,7
2008-02,8,0,54,6
2008-03,8,0,55,7
2008-04,8,0,50,7
2008-05,8,0,51,7
2008-06,8,0,51,7
2008-07,10,0,52,7
2008-08,9,0,57,7
2008-09,8,0,55,7
2008-10,8,0,56,8
2008-11,11,0,59,7
2008-12,11,0,57,8
2009-01,13,0,63,7
2009-02,12,0,57,7
2009-03,11,0,56,7
2009-04,12,0,55,7
2009-05,11,0,54,7
2009-06,11,0,54,7
2009-07,11,0,60,7
2009-08,12,0,62,7
2009-09,12,0,62,7
2009-10,12,2,59,6
2009-11,12,2,66,6
2009-12,12,4,62,7
2010-01,13,4,70,6
2010-02,13,6,69,7
2010-03,13,7,66,7
2010-04,13,6,63,7
2010-05,14,4,65,7
2010-06,19,2,62,6
2010-07,18,2,61,7
2010-08,15,1,61,7
2010-09,15,2,61,6
2010-10,15,1,61,6
2010-11,14,1,65,6
2010-12,16,1,64,7
2011-01,16,1,67,7
2011-02,16,1,60,7
2011-03,18,1,58,7
2011-04,16,1,54,7
2011-05,16,1,55,7
2011-06,17,1,57,7
2011-07,19,1,58,7
2011-08,16,1,58,7
2011-09,16,1,59,7
2011-10,15,1,60,7
2011-11,16,1,63,7
2011-12,15,1,60,7
2012-01,16,1,66,15
2012-02,32,1,59,14
2012-03,35,1,55,16
2012-04,32,1,58,20
2012-05,27,1,56,19
2012-06,26,1,57,16
2012-07,33,1,69,14
2012-08,30,1,63,13
2012-09,30,1,66,12
2012-10,27,1,62,11
2012-11,25,1,66,11
2012-12,25,1,63,10
2013-01,23,1,67,10
2013-02,22,1,60,10
2013-03,22,1,58,9
2013-04,22,2,58,9
2013-05,22,3,59,9
2013-06,21,3,56,9
2013-07,25,4,58,9
2013-08,26,3,61,8
2013-09,24,3,63,8
2013-10,22,3,64,8
2013-11,22,3,69,8
2013-12,22,3,67,8
2014-01,23,3,73,8
2014-02,21,3,67,8
2014-03,22,3,62,8
2014-04,22,4,61,9
2014-05,23,4,62,11
2014-06,21,4,60,10
2014-07,22,3,68,11
2014-08,22,3,70,13
2014-09,22,4,67,15
2014-10,22,3,70,16
2014-11,21,3,79,18
2014-12,22,3,74,16
2015-01,21,3,77,14
2015-02,20,3,71,13
2015-03,20,3,68,12
2015-04,19,3,65,11
2015-05,19,3,69,11
2015-06,19,3,66,11
2015-07,19,3,73,11
2015-08,19,3,78,11
2015-09,19,3,74,10
2015-10,19,3,76,10
2015-11,19,3,86,9
2015-12,20,3,85,11
2016-01,20,3,91,15
2016-02,18,3,82,28
2016-03,18,2,77,52
2016-04,18,3,80,78
2016-05,19,2,79,75
2016-06,19,2,73,67
2016-07,19,2,81,65
2016-08,19,3,91,58
2016-09,19,3,88,59
2016-10,19,4,89,50
2016-11,20,3,100,50
2016-12,18,6,100,53
