month,chill,dope
2004-01,49,39
2004-02,35,44
2004-03,35,43
2004-04,41,41
2004-05,36,46
2004-06,40,34
2004-07,54,34
2004-08,49,34
2004-09,35,36
2004-10,37,38
2004-11,39,36
2004-12,47,35
2005-01,48,35
2005-02,42,35
2005-03,39,34
2005-04,40,34
2005-05,40,33
2005-06,46,30
2005-07,48,33
2005-08,45,32
2005-09,34,34
2005-10,36,33
2005-11,39,32
2005-12,43,33
2006-01,39,30
2006-02,43,31
2006-03,38,31
2006-04,40,29
2006-05,42,28
2006-06,40,28
2006-07,46,28
2006-08,46,28
2006-09,37,28
2006-10,35,29
2006-11,37,27
2006-12,40,28
2007-01,41,27
2007-02,46,29
2007-03,38,30
2007-04,40,28
2007-05,41,27
2007-06,44,26
2007-07,55,25
2007-08,56,24
2007-09,43,24
2007-10,44,25
2007-11,56,25
2007-12,53,27
2008-01,54,28
2008-02,48,29
2008-03,43,29
2008-04,43,29
2008-05,44,27
2008-06,45,26
2008-07,57,29
2008-08,46,32
2008-09,39,30
2008-10,41,28
2008-11,43,26
2008-12,49,27
2009-01,52,25
2009-02,44,28
2009-03,42,29
2009-04,42,28
2009-05,43,27
2009-06,45,25
2009-07,47,25
2009-08,49,26
2009-09,40,25
2009-10,40,25
2009-11,39,24
2009-12,46,24
2010-01,45,22
2010-02,43,23
2010-03,41,23
2010-04,41,24
2010-05,42,23
2010-06,43,23
2010-07,47,24
2010-08,51,26
2010-09,39,25
2010-10,41,24
2010-11,43,26
2010-12,52,25
2011-01,46,25
2011-02,44,24
2011-03,41,26
2011-04,44,27
2011-05,43,27
2011-06,45,28
2011-07,48,29
2011-08,48,28
2011-09,40,26
2011-10,39,26
2011-11,40,30
2011-12,42,32
2012-01,45,33
2012-02,43,33
2012-03,40,32
2012-04,40,33
2012-05,44,32
2012-06,42,33
2012-07,43,34
2012-08,45,36
2012-09,42,34
2012-10,39,34
2012-11,40,32
2012-12,44,34
2013-01,45,37
2013-02,42,41
2013-03,42,43
2013-04,39,40
2013-05,47,35
2013-06,45,35
2013-07,43,37
2013-08,41,34
2013-09,38,34
2013-10,38,35
2013-11,42,48
2013-12,47,39
2014-01,60,36
2014-02,44,38
2014-03,39,44
2014-04,38,49
2014-05,43,46
2014-06,44,39
2014-07,46,40
2014-08,45,38
2014-09,40,35
2014-10,40,36
2014-11,46,35
2014-12,47,35
2015-01,53,35
2015-02,53,34
2015-03,43,33
2015-04,42,35
2015-05,45,38
2015-06,47,91
2015-07,54,71
2015-08,67,52
2015-09,87,53
2015-10,100,80
2015-11,86,61
2015-12,82,57
2016-01,85,55
2016-02,65,72
2016-03,59,59
2016-04,59,52
2016-05,58,50
2016-06,60,50
2016-07,63,50
2016-08,63,46
2016-09,64,42
2016-10,66,43
2016-11,65,41
