Category: All categories

Month,bro: (Worldwide),dude: (Worldwide),homie: (Worldwide),bff: (Worldwide)
2004-01,24,53,6,3
2004-02,22,57,3,3
2004-03,25,61,5,3
2004-04,22,54,4,2
2004-05,23,54,3,2
2004-06,25,55,4,2
2004-07,24,57,3,3
2004-08,23,48,3,3
2004-09,23,46,4,3
2004-10,24,44,4,3
2004-11,23,41,4,2
2004-12,23,46,5,2
2005-01,25,47,4,3
2005-02,22,47,5,2
2005-03,24,49,4,2
2005-04,21,45,4,2
2005-05,23,46,5,3
2005-06,28,50,5,3
2005-07,27,44,5,3
2005-08,28,44,4,3
2005-09,26,43,5,3
2005-10,25,45,4,3
2005-11,24,42,5,3
2005-12,27,45,4,3
2006-01,33,47,5,4
2006-02,26,47,5,3
2006-03,27,46,6,3
2006-04,29,46,7,3
2006-05,36,47,6,4
2006-06,37,49,6,4
2006-07,37,45,4,4
2006-08,37,46,5,4
2006-09,33,45,4,4
2006-10,31,46,4,4
2006-11,30,43,4,4
2006-12,30,47,4,5
2007-01,38,47,4,5
2007-02,31,47,4,5
2007-03,30,48,4,4
2007-04,31,45,4,4
2007-05,33,47,4,8
2007-06,39,44,4,8
2007-07,41,46,4,7
2007-08,39,44,4,7
2007-09,39,44,5,8
2007-10,37,43,5,6
2007-11,36,43,5,6
2007-12,41,46,5,6
2008-01,41,45,5,6
2008-02,39,48,5,5
2008-03,39,48,5,8
2008-04,38,47,5,8
2008-05,38,49,4,6
2008-06,43,46,4,6
2008-07,44,48,4,6
2008-08,45,49,4,6
2008-09,42,49,4,10
2008-10,39,49,4,24
2008-11,41,45,4,30
2008-12,42,57,4,33
2009-01,45,51,4,16
2009-02,41,48,4,16
2009-03,44,49,4,16
2009-04,43,51,5,15
2009-05,42,50,4,17
2009-06,44,47,4,25
2009-07,46,48,4,31
2009-08,48,48,4,29
2009-09,44,49,4,13
2009-10,42,47,4,11
2009-11,42,45,5,12
2009-12,47,45,5,11
2010-01,48,47,6,12
2010-02,43,50,5,13
2010-03,44,52,5,14
2010-04,44,55,4,16
2010-05,44,56,4,15
2010-06,48,50,4,14
2010-07,53,50,4,16
2010-08,53,49,5,15
2010-09,55,49,5,14
2010-10,58,52,5,13
2010-11,57,57,5,15
2010-12,62,61,5,15
2011-01,59,76,5,15
2011-02,63,75,5,14
2011-03,60,77,5,13
2011-04,63,70,6,15
2011-05,61,65,5,16
2011-06,63,63,6,17
2011-07,65,60,5,16
2011-08,73,59,6,16
2011-09,72,57,10,13
2011-10,74,58,9,13
2011-11,74,54,8,14
2011-12,73,55,12,14
2012-01,73,54,7,14
2012-02,68,52,7,15
2012-03,68,54,10,16
2012-04,69,53,11,17
2012-05,63,51,10,17
2012-06,68,52,9,18
2012-07,65,52,9,17
2012-08,66,51,8,16
2012-09,62,49,8,15
2012-10,63,50,7,15
2012-11,60,48,7,14
2012-12,68,52,8,15
2013-01,65,54,7,15
2013-02,63,54,8,16
2013-03,62,51,9,15
2013-04,63,52,10,16
2013-05,63,53,13,16
2013-06,61,53,19,15
2013-07,61,54,23,15
2013-08,61,52,27,15
2013-09,57,50,26,15
2013-10,60,52,26,15
2013-11,57,53,28,15
2013-12,61,58,40,17
2014-01,61,62,38,17
2014-02,59,59,35,18
2014-03,60,76,38,17
2014-04,63,68,36,19
2014-05,62,60,37,19
2014-06,61,63,33,21
2014-07,62,63,35,21
2014-08,66,62,32,20
2014-09,63,59,30,18
2014-10,66,60,33,21
2014-11,62,62,29,21
2014-12,63,64,30,22
2015-01,73,75,30,22
2015-02,100,67,28,24
2015-03,97,64,30,22
2015-04,77,69,36,23
2015-05,72,77,41,24
2015-06,69,77,37,28
2015-07,69,74,32,25
2015-08,72,72,29,25
2015-09,71,68,27,24
2015-10,70,72,24,25
2015-11,67,71,22,25
2015-12,72,78,21,29
2016-01,75,79,19,30
2016-02,70,87,17,28
2016-03,69,81,17,28
2016-04,71,83,16,29
2016-05,70,81,14,28
2016-06,71,80,14,30
2016-07,72,80,20,30
2016-08,74,79,14,29
2016-09,74,79,14,28
2016-10,75,80,14,29
2016-11,80,81,12,30
2016-12,85,85,14,34
