month,punk,hipster,emo
2004-01,77,1,12
2004-02,74,1,12
2004-03,75,1,12
2004-04,74,1,12
2004-05,70,1,12
2004-06,67,1,12
2004-07,68,1,12
2004-08,67,1,13
2004-09,66,1,13
2004-10,67,1,14
2004-11,66,1,15
2004-12,66,1,17
2005-01,66,1,17
2005-02,67,1,16
2005-03,71,1,18
2005-04,68,1,17
2005-05,68,1,19
2005-06,67,1,20
2005-07,65,1,23
2005-08,60,1,24
2005-09,58,1,28
2005-10,59,1,29
2005-11,56,1,31
2005-12,57,2,33
2006-01,53,1,34
2006-02,54,2,36
2006-03,51,1,34
2006-04,55,1,36
2006-05,55,1,36
2006-06,57,1,39
2006-07,53,1,36
2006-08,53,1,36
2006-09,51,1,36
2006-10,50,1,38
2006-11,49,1,38
2006-12,48,1,40
2007-01,46,1,40
2007-02,45,1,42
2007-03,47,1,45
2007-04,46,1,50
2007-05,47,1,55
2007-06,51,1,56
2007-07,53,1,57
2007-08,53,2,58
2007-09,52,2,61
2007-10,50,1,60
2007-11,55,1,64
2007-12,61,2,74
2008-01,51,1,72
2008-02,51,2,74
2008-03,48,2,84
2008-04,47,2,82
2008-05,46,2,94
2008-06,45,2,88
2008-07,44,2,78
2008-08,43,2,81
2008-09,44,2,79
2008-10,43,2,77
2008-11,40,2,75
2008-12,40,2,74
2009-01,39,2,71
2009-02,39,2,68
2009-03,41,2,69
2009-04,38,3,70
2009-05,39,4,69
2009-06,37,3,67
2009-07,37,3,65
2009-08,39,3,67
2009-09,39,3,62
2009-10,39,3,61
2009-11,36,3,58
2009-12,36,4,58
2010-01,36,4,56
2010-02,35,4,59
2010-03,35,4,60
2010-04,36,5,61
2010-05,39,4,57
2010-06,36,4,55
2010-07,35,5,57
2010-08,33,5,54
2010-09,32,7,52
2010-10,36,7,53
2010-11,36,7,49
2010-12,43,7,48
2011-01,38,7,45
2011-02,34,8,42
2011-03,32,9,41
2011-04,33,9,43
2011-05,31,9,40
2011-06,35,9,40
2011-07,44,10,38
2011-08,37,10,39
2011-09,34,10,38
2011-10,35,12,35
2011-11,34,11,34
2011-12,33,12,36
2012-01,31,12,34
2012-02,32,12,32
2012-03,29,13,33
2012-04,30,14,31
2012-05,28,13,29
2012-06,29,14,28
2012-07,30,15,29
2012-08,31,15,28
2012-09,31,14,26
2012-10,32,15,24
2012-11,29,14,23
2012-12,29,15,24
2013-01,30,15,23
2013-02,32,15,23
2013-03,35,15,23
2013-04,68,16,22
2013-05,100,15,22
2013-06,73,15,21
2013-07,55,15,22
2013-08,54,14,21
2013-09,42,14,21
2013-10,36,15,20
2013-11,37,14,20
2013-12,39,14,21
2014-01,72,15,20
2014-02,57,14,19
2014-03,43,15,19
2014-04,39,15,19
2014-05,34,14,19
2014-06,31,15,19
2014-07,32,14,19
2014-08,30,14,19
2014-09,28,14,17
2014-10,29,14,17
2014-11,31,15,17
2014-12,34,16,17
2015-01,28,15,17
2015-02,27,15,17
2015-03,27,15,16
2015-04,26,15,16
2015-05,24,15,16
2015-06,24,15,16
2015-07,24,15,16
2015-08,24,14,16
2015-09,23,15,16
2015-10,24,14,15
2015-11,22,13,14
2015-12,23,15,16
2016-01,24,13,16
2016-02,23,12,14
2016-03,22,12,14
2016-04,22,12,14
2016-05,21,11,14
2016-06,20,11,13
2016-07,20,11,14
2016-08,22,10,13
2016-09,34,10,13
2016-10,23,11,12
2016-11,21,10,12
2016-12,23,11,13
