Category: All categories

Month,pot: (Worldwide),weed: (Worldwide),marijuana: (Worldwide),420: (Worldwide)
2004-01,57,29,47,13
2004-02,53,34,50,12
2004-03,52,40,51,13
2004-04,48,47,56,18
2004-05,44,45,49,12
2004-06,42,39,39,13
2004-07,43,35,36,14
2004-08,45,33,36,14
2004-09,48,32,40,13
2004-10,56,31,43,13
2004-11,56,29,48,13
2004-12,58,27,44,14
2005-01,60,28,39,13
2005-02,55,29,42,13
2005-03,52,32,43,12
2005-04,49,39,47,19
2005-05,48,39,46,12
2005-06,45,35,38,12
2005-07,45,33,31,12
2005-08,46,33,33,12
2005-09,48,30,34,11
2005-10,56,31,39,11
2005-11,58,29,43,11
2005-12,61,28,36,11
2006-01,58,28,35,10
2006-02,56,30,36,10
2006-03,54,31,36,10
2006-04,50,37,39,19
2006-05,48,36,38,12
2006-06,44,32,30,10
2006-07,44,32,28,11
2006-08,47,31,28,11
2006-09,52,30,31,10
2006-10,57,29,34,10
2006-11,56,26,34,11
2006-12,59,24,30,10
2007-01,56,25,29,10
2007-02,56,25,30,10
2007-03,50,28,32,10
2007-04,51,32,34,19
2007-05,52,34,33,10
2007-06,46,31,27,10
2007-07,46,31,28,11
2007-08,48,28,27,11
2007-09,50,28,27,10
2007-10,57,27,30,10
2007-11,58,26,30,11
2007-12,64,26,28,11
2008-01,66,27,29,11
2008-02,62,28,30,11
2008-03,56,30,29,11
2008-04,54,36,32,17
2008-05,52,37,30,11
2008-06,47,34,26,11
2008-07,48,34,26,11
2008-08,50,35,27,11
2008-09,54,33,30,10
2008-10,61,33,29,14
2008-11,66,32,31,10
2008-12,69,32,28,10
2009-01,68,32,27,10
2009-02,72,39,36,10
2009-03,62,37,34,10
2009-04,59,45,35,20
2009-05,54,45,32,10
2009-06,50,42,27,10
2009-07,50,41,27,10
2009-08,55,41,27,11
2009-09,57,38,27,11
2009-10,66,38,31,12
2009-11,68,37,30,10
2009-12,69,36,27,10
2010-01,71,35,28,10
2010-02,64,38,27,10
2010-03,61,41,29,10
2010-04,58,51,32,22
2010-05,54,47,28,10
2010-06,50,43,25,10
2010-07,53,49,28,11
2010-08,55,48,27,11
2010-09,59,44,27,13
2010-10,67,45,33,11
2010-11,73,45,37,10
2010-12,74,44,28,11
2011-01,75,43,27,11
2011-02,69,43,27,10
2011-03,64,47,28,11
2011-04,61,59,32,26
2011-05,58,55,28,11
2011-06,55,53,27,11
2011-07,57,53,26,11
2011-08,61,50,24,11
2011-09,67,47,24,11
2011-10,72,46,27,10
2011-11,76,47,25,10
2011-12,78,49,23,10
2012-01,77,50,25,10
2012-02,72,51,25,11
2012-03,67,54,25,11
2012-04,64,64,28,26
2012-05,57,58,25,10
2012-06,55,55,23,11
2012-07,56,57,23,11
2012-08,59,57,23,10
2012-09,68,53,23,11
2012-10,74,51,24,10
2012-11,79,58,43,10
2012-12,80,53,26,10
2013-01,80,67,24,11
2013-02,77,54,25,11
2013-03,72,58,24,11
2013-04,66,64,27,24
2013-05,61,63,24,12
2013-06,58,60,22,13
2013-07,58,59,22,12
2013-08,64,58,25,13
2013-09,71,53,24,12
2013-10,78,53,24,12
2013-11,86,52,24,12
2013-12,88,53,24,12
2014-01,93,61,40,13
2014-02,84,57,31,13
2014-03,78,61,31,15
2014-04,69,67,30,26
2014-05,65,72,27,14
2014-06,59,65,25,13
2014-07,60,64,27,14
2014-08,64,61,26,14
2014-09,71,58,26,13
2014-10,79,55,27,13
2014-11,90,58,31,14
2014-12,85,56,25,14
2015-01,90,57,26,14
2015-02,82,58,27,16
2015-03,76,60,28,15
2015-04,71,69,29,27
2015-05,67,70,27,18
2015-06,62,66,26,16
2015-07,64,67,27,26
2015-08,67,63,25,17
2015-09,75,59,27,15
2015-10,85,60,28,14
2015-11,90,57,27,14
2015-12,91,59,26,14
2016-01,100,62,28,15
2016-02,85,60,27,15
2016-03,81,65,28,15
2016-04,77,77,30,32
2016-05,72,73,27,15
2016-06,66,68,25,14
2016-07,68,67,25,14
2016-08,71,69,27,14
2016-09,76,65,27,14
2016-10,87,64,29,13
2016-11,92,74,45,13
2016-12,88,67,32,14
